species,sepal_length_Bin,sepal_width_Bin,petal_length_Bin,petal_width_Bin,id,petal_length_width_log,sepal_length_width_log
setosa,big,average,small,small,0,0.47000362924573547,2.151762203259462
setosa,big,average,small,small,1,0.47000362924573547,2.066862759472976
setosa,big,average,small,small,2,0.4054651081081644,2.066862759472976
setosa,big,average,small,small,3,0.5306282510621704,2.0412203288596382
setosa,big,average,small,small,4,0.47000362924573547,2.151762203259462
setosa,big,average,small,small,5,0.7419373447293773,2.2300144001592104
setosa,big,average,small,small,6,0.5306282510621704,2.0794415416798357
setosa,big,average,small,small,7,0.5306282510621704,2.128231705849268
setosa,big,average,small,small,8,0.47000362924573547,1.9878743481543455
setosa,big,average,small,small,9,0.47000362924573563,2.0794415416798357
setosa,big,average,small,small,10,0.5306282510621704,2.2082744135228043
setosa,big,average,small,small,11,0.5877866649021191,2.1041341542702074
setosa,big,average,small,small,12,0.4054651081081644,2.0541237336955462
setosa,big,average,small,small,13,0.1823215567939548,1.9878743481543455
setosa,big,average,small,small,14,0.3364722366212129,2.2823823856765264
setosa,big,big,small,small,15,0.6418538861723947,2.312535423847214
setosa,big,average,small,small,16,0.5306282510621705,2.2300144001592104
setosa,big,average,small,small,17,0.5306282510621704,2.151762203259462
setosa,big,average,small,small,18,0.6931471805599453,2.2512917986064953
setosa,big,average,small,small,19,0.5877866649021191,2.186051276738094
setosa,big,average,small,small,20,0.6418538861723947,2.174751721484161
setosa,big,average,small,small,21,0.6418538861723947,2.174751721484161
setosa,big,average,small,small,22,0.1823215567939546,2.1041341542702074
setosa,big,average,small,small,23,0.7884573603642703,2.128231705849268
setosa,big,average,small,small,24,0.7419373447293773,2.1041341542702074
setosa,big,average,small,small,25,0.5877866649021191,2.0794415416798357
setosa,big,average,small,small,26,0.6931471805599453,2.128231705849268
setosa,big,average,small,small,27,0.5306282510621704,2.163323025660538
setosa,big,average,small,small,28,0.47000362924573547,2.151762203259462
setosa,big,average,small,small,29,0.5877866649021191,2.066862759472976
setosa,big,average,small,small,30,0.5877866649021191,2.066862759472976
setosa,big,average,small,small,31,0.6418538861723947,2.174751721484161
setosa,big,big,small,small,32,0.47000362924573563,2.2300144001592104
setosa,big,big,small,small,33,0.47000362924573547,2.272125885509337
setosa,big,average,small,small,34,0.5306282510621704,2.0794415416798357
setosa,big,average,small,small,35,0.3364722366212129,2.1041341542702074
setosa,big,average,small,small,36,0.4054651081081644,2.1972245773362196
setosa,big,average,small,small,37,0.4054651081081644,2.1400661634962708
setosa,big,average,small,small,38,0.4054651081081644,2.0014800002101243
setosa,big,average,small,small,39,0.5306282510621704,2.1400661634962708
setosa,big,average,small,small,40,0.47000362924573563,2.1400661634962708
setosa,big,average,small,small,41,0.47000362924573563,1.916922612182061
setosa,big,average,small,small,42,0.4054651081081644,2.0281482472922856
setosa,big,average,small,small,43,0.7884573603642703,2.1400661634962708
setosa,big,average,small,small,44,0.8329091229351039,2.186051276738094
setosa,big,average,small,small,45,0.5306282510621704,2.0541237336955462
setosa,big,average,small,small,46,0.5877866649021191,2.186051276738094
setosa,big,average,small,small,47,0.47000362924573547,2.0541237336955462
setosa,big,average,small,small,48,0.5306282510621704,2.1972245773362196
setosa,big,average,small,small,49,0.47000362924573547,2.1162555148025524
versicolor,very big,average,big,small,50,1.8082887711792655,2.322387720290225
versicolor,very big,average,big,small,51,1.791759469228055,2.2617630984737906
versicolor,very big,average,big,small,52,1.8562979903656263,2.302585092994046
versicolor,big,average,average,small,53,1.667706820558076,2.0541237336955462
versicolor,very big,average,big,small,54,1.8082887711792655,2.2300144001592104
versicolor,big,average,big,small,55,1.7578579175523736,2.1400661634962708
versicolor,very big,average,big,small,56,1.8405496333974871,2.2617630984737906
versicolor,big,average,average,small,57,1.4586150226995167,1.9878743481543455
versicolor,very big,average,big,small,58,1.7749523509116736,2.2512917986064953
versicolor,big,average,average,small,59,1.667706820558076,2.066862759472976
versicolor,big,small,average,small,60,1.5040773967762742,1.9459101490553132
versicolor,big,average,big,small,61,1.7404661748405046,2.186051276738094
versicolor,big,average,average,small,62,1.6094379124341003,2.1041341542702074
versicolor,very big,average,big,small,63,1.8082887711792655,2.1972245773362196
versicolor,big,average,average,small,64,1.589235205116581,2.1400661634962708
versicolor,very big,average,big,small,65,1.7578579175523739,2.2823823856765264
versicolor,big,average,big,small,66,1.791759469228055,2.151762203259462
versicolor,big,average,big,small,67,1.62924053973028,2.1400661634962708
versicolor,very big,average,big,small,68,1.791759469228055,2.128231705849268
versicolor,big,average,average,small,69,1.6094379124341003,2.0918640616783932
versicolor,big,average,big,small,70,1.8870696490323797,2.2082744135228043
versicolor,very big,average,average,small,71,1.667706820558076,2.186051276738094
versicolor,very big,average,big,small,72,1.8562979903656263,2.174751721484161
versicolor,very big,average,big,small,73,1.7749523509116738,2.186051276738094
versicolor,very big,average,big,small,74,1.7227665977411035,2.2300144001592104
versicolor,very big,average,big,small,75,1.7578579175523739,2.2617630984737906
versicolor,very big,average,big,small,76,1.8245492920510458,2.2617630984737906
versicolor,very big,average,big,small,77,1.9021075263969205,2.272125885509337
versicolor,big,average,big,small,78,1.791759469228055,2.186051276738094
versicolor,big,average,average,small,79,1.5040773967762742,2.1162555148025524
versicolor,big,average,average,small,80,1.589235205116581,2.066862759472976
versicolor,big,average,average,small,81,1.547562508716013,2.066862759472976
versicolor,big,average,average,small,82,1.62924053973028,2.1400661634962708
versicolor,big,average,big,small,83,1.9021075263969203,2.163323025660538
versicolor,big,average,big,small,84,1.791759469228055,2.128231705849268
versicolor,big,average,big,small,85,1.8082887711792655,2.2407096892759584
versicolor,very big,average,big,small,86,1.824549292051046,2.2823823856765264
versicolor,very big,average,big,small,87,1.7404661748405046,2.151762203259462
versicolor,big,average,big,small,88,1.6863989535702286,2.151762203259462
versicolor,big,average,average,small,89,1.667706820558076,2.0794415416798357
versicolor,big,average,big,small,90,1.7227665977411037,2.0918640616783932
versicolor,very big,average,big,small,91,1.791759469228055,2.2082744135228043
versicolor,big,average,average,small,92,1.6486586255873816,2.128231705849268
versicolor,big,average,average,small,93,1.4586150226995167,1.9878743481543455
versicolor,big,average,big,small,94,1.7047480922384253,2.1162555148025524
versicolor,big,average,big,small,95,1.6863989535702288,2.163323025660538
versicolor,big,average,big,small,96,1.7047480922384253,2.151762203259462
versicolor,very big,average,big,small,97,1.7227665977411035,2.2082744135228043
versicolor,big,average,average,small,98,1.410986973710262,2.028148247292285
versicolor,big,average,big,small,99,1.6863989535702286,2.1400661634962708
virginica,very big,average,big,average,100,2.1400661634962708,2.2617630984737906
virginica,big,average,big,small,101,1.9459101490553132,2.1400661634962708
virginica,very big,average,big,average,102,2.0794415416798357,2.312535423847214
virginica,very big,average,big,small,103,2.001480000210124,2.2192034840549946
virginica,very big,average,big,average,104,2.0794415416798357,2.2512917986064953
virginica,very big,average,very big,average,105,2.163323025660538,2.3608540011180215
virginica,big,average,big,small,106,1.824549292051046,2.0014800002101243
virginica,very big,average,very big,small,107,2.0918640616783932,2.322387720290225
virginica,very big,average,big,small,108,2.028148247292285,2.2192034840549946
virginica,very big,average,very big,average,109,2.151762203259462,2.379546134130174
virginica,very big,average,big,small,110,1.9600947840472698,2.272125885509337
virginica,very big,average,big,small,111,1.9740810260220096,2.2082744135228043
virginica,very big,average,big,average,112,2.028148247292285,2.2823823856765264
virginica,big,average,big,small,113,1.9459101490553132,2.1041341542702074
virginica,big,average,big,average,114,2.0149030205422647,2.151762203259462
virginica,very big,average,big,average,115,2.028148247292285,2.2617630984737906
virginica,very big,average,big,small,116,1.9878743481543455,2.2512917986064953
virginica,very big,average,very big,average,117,2.186051276738094,2.4423470353692043
virginica,very big,average,very big,average,118,2.2192034840549946,2.33214389523559
virginica,big,average,big,small,119,1.8718021769015913,2.1041341542702074
virginica,very big,average,big,average,120,2.0794415416798357,2.312535423847214
virginica,big,average,big,small,121,1.9315214116032138,2.128231705849268
virginica,very big,average,very big,small,122,2.163323025660538,2.3513752571634776
virginica,very big,average,big,small,123,1.9021075263969205,2.1972245773362196
virginica,very big,average,big,average,124,2.0541237336955462,2.302585092994046
virginica,very big,average,big,small,125,2.0541237336955462,2.341805806147327
virginica,very big,average,big,small,126,1.8870696490323797,2.1972245773362196
virginica,very big,average,big,small,127,1.9021075263969205,2.2082744135228043
virginica,very big,average,big,average,128,2.0412203288596382,2.2192034840549946
virginica,very big,average,big,small,129,2.0014800002101243,2.322387720290225
virginica,very big,average,very big,small,130,2.0794415416798357,2.322387720290225
virginica,very big,average,very big,small,131,2.128231705849268,2.4595888418037104
virginica,very big,average,big,average,132,2.0541237336955462,2.2192034840549946
virginica,very big,average,big,small,133,1.8870696490323797,2.2082744135228043
virginica,very big,average,big,small,134,1.9459101490553132,2.163323025660538
virginica,very big,average,very big,average,135,2.128231705849268,2.3702437414678603
virginica,very big,average,big,average,136,2.0794415416798357,2.272125885509337
virginica,very big,average,big,small,137,1.9878743481543455,2.2512917986064953
virginica,big,average,big,small,138,1.8870696490323797,2.1972245773362196
virginica,very big,average,big,average,139,2.0149030205422647,2.302585092994046
virginica,very big,average,big,average,140,2.0794415416798357,2.2823823856765264
virginica,very big,average,big,average,141,2.001480000210124,2.302585092994046
virginica,big,average,big,small,142,1.9459101490553132,2.1400661634962708
virginica,very big,average,big,average,143,2.1041341542702074,2.302585092994046
virginica,very big,average,big,average,144,2.1041341542702074,2.302585092994046
virginica,very big,average,big,average,145,2.0149030205422647,2.272125885509337
virginica,very big,average,big,small,146,1.9315214116032138,2.174751721484161
virginica,very big,average,big,small,147,1.9740810260220096,2.2512917986064953
virginica,very big,average,big,average,148,2.0412203288596382,2.2617630984737906
virginica,big,average,big,small,149,1.9315214116032136,2.186051276738094
